点序号	接近中心度	介数中心度
    79	  0.737206	  0.000000
    80	  0.737206	  0.000000
    81	  0.026898	  0.000000
    82	  0.032722	  0.000648
    83	  0.026898	  0.000000
    84	  0.012837	  0.000000
    85	  0.012837	  0.000000
    86	  0.012837	  0.000000
    87	  0.018705	  0.000000
    88	  0.026453	  0.000648
    89	  0.000000	  0.000000
    90	  0.348834	  0.000000
    91	  0.012837	  0.000000
    92	  0.012837	  0.000000
    93	  0.012837	  0.000000
    94	  0.824142	  0.542918
    95	  0.659873	  0.000000
    96	  0.765436	  0.211244
    97	  0.776653	  0.369478
    98	  0.659873	  0.000000
    99	  0.661343	  0.000000
   100	  0.781469	  0.358936
   101	  0.000000	  0.000000
   102	  0.012837	  0.000000
   103	  0.012837	  0.000000
   104	  0.012837	  0.000000
   105	  0.016047	  0.000000
   106	  0.017376	  0.000093
   107	  0.016047	  0.000000
   108	  0.004539	  0.000000
   109	  0.004539	  0.000000
   110	  0.000000	  0.000000
   111	  0.004539	  0.000000
   112	  0.004539	  0.000000
   113	  0.108249	  0.000000
   114	  0.211960	  0.017457
   115	  0.000000	  0.000000
   116	  0.019805	  0.000000
   117	  0.035071	  0.000185
   118	  0.020585	  0.000139
   119	  0.012562	  0.000000
   120	  0.347332	  0.000000
   121	  0.690125	  0.069502
   122	  0.012837	  0.000000
   123	  0.012837	  0.000000
   124	  0.012837	  0.000000
   125	  0.000000	  0.000000
   126	  0.523088	  0.000093
   127	  0.675871	  0.117527
   128	  0.485625	  0.000000
   129	  0.004539	  0.000000
   130	  0.004539	  0.000000
   131	  0.878897	  0.257439
   132	  0.899526	  0.015018
   133	  0.921589	  0.005225
   134	  0.921589	  0.005225
   135	  0.263744	  0.000000
   136	  0.522949	  0.067827
   137	  0.004539	  0.000000
   138	  0.004539	  0.000000
   139	  0.075641	  0.000000
   140	  0.075641	  0.000000
   141	  0.075641	  0.000000
   142	  0.075641	  0.000000
   143	  0.075641	  0.000000
   144	  0.075641	  0.000000
   145	  0.075641	  0.000000
   146	  0.075641	  0.000000
   147	  0.075641	  0.000000
   148	  0.075641	  0.000000
   149	  0.541799	  0.004630
   150	  0.812321	  0.609086
   151	  0.711801	  0.197203
   152	  0.381024	  0.000000
   153	  0.020128	  0.000000
   154	  0.020128	  0.000000
   155	  0.021614	  0.000023
   156	  0.021614	  0.000023
   157	  0.517718	  0.000000
   158	  0.517718	  0.000000
   159	  0.000000	  0.000000
   160	  0.004539	  0.000000
   161	  0.004539	  0.000000
   162	  0.684823	  0.030801
   163	  0.344681	  0.000000
   164	  0.004539	  0.000000
   165	  0.004539	  0.000000
   166	  0.009077	  0.000046
   167	  0.006808	  0.000000
   168	  0.000000	  0.000000
   169	  0.016047	  0.000000
   170	  0.016047	  0.000000
   171	  0.017376	  0.000093
   172	  0.010957	  0.000000
   173	  0.012837	  0.000046
   174	  0.010957	  0.000000
   175	  0.016047	  0.000000
   176	  0.016047	  0.000000
   177	  0.017376	  0.000093
   178	  0.000000	  0.000000
   179	  0.009077	  0.000000
   180	  0.009077	  0.000000
   181	  0.009077	  0.000000
   182	  0.004539	  0.000000
   183	  0.004539	  0.000000
   184	  0.515167	  0.138356
   185	  0.376460	  0.000000
   186	  0.388371	  0.119973
   187	  0.025190	  0.000000
   188	  0.025190	  0.000000
   189	  0.032965	  0.000324
   190	  0.627412	  0.000000
   191	  0.397206	  0.000417
   192	  0.475722	  0.005584
   193	  0.475722	  0.005584
   194	  0.450334	  0.132151
   195	  0.029318	  0.000000
   196	  0.029318	  0.000000
   197	  0.030533	  0.000015
   198	  0.030533	  0.000015
   199	  0.030533	  0.000015
   200	  0.030231	  0.000000
   201	  0.036736	  0.000116
   202	  0.036736	  0.000116
   203	  0.688451	  0.257962
   204	  0.000000	  0.000000
   205	  0.004539	  0.000000
   206	  0.004539	  0.000000
   207	  0.025675	  0.000185
   208	  0.021915	  0.000000
   209	  0.021915	  0.000000
   210	  0.012837	  0.000000
   211	  0.012837	  0.000000
   212	  0.012837	  0.000000
   213	  0.012837	  0.000000
   214	  0.012837	  0.000000
   215	  0.012837	  0.000000
   216	  0.712263	  0.603334
   217	  0.541220	  0.000432
   218	  0.600160	  0.015975
   219	  0.618531	  0.219480
   220	  0.573046	  0.000505
   221	  0.645534	  0.065265
   222	  0.630604	  0.105202
   223	  0.513844	  0.000000
   224	  0.562637	  0.000907
   225	  0.803022	  0.825716
   226	  0.006808	  0.000000
   227	  0.009077	  0.000046
   228	  0.020128	  0.000000
   229	  0.020128	  0.000000
   230	  0.021614	  0.000023
   231	  0.021614	  0.000023
   232	  0.000000	  0.000000
   233	  0.304177	  0.000000
   234	  0.304177	  0.000000
   235	  0.424854	  0.033894
   236	  0.000000	  0.000000
   237	  0.004539	  0.000000
   238	  0.004539	  0.000000
   239	  0.039610	  0.000417
   240	  0.022074	  0.000000
   241	  0.022074	  0.000000
   242	  0.019198	  0.000000
   243	  0.033857	  0.000185
   244	  0.048616	  0.002199
   245	  0.032056	  0.000023
   246	  0.026577	  0.000000
   247	  0.055833	  0.001945
   248	  0.012837	  0.000000
   249	  0.012837	  0.000000
   250	  0.012837	  0.000000
   251	  0.628606	  0.016916
   252	  0.623727	  0.051343
   253	  0.000000	  0.000000
   254	  0.135791	  0.000579
   255	  0.135791	  0.000579
   256	  0.101108	  0.000015
   257	  0.000000	  0.000000
   258	  0.020128	  0.000000
   259	  0.020128	  0.000000
   260	  0.004539	  0.000000
   261	  0.004539	  0.000000
   262	  0.651122	  0.002558
   263	  0.595677	  0.000093
   264	  0.651122	  0.002558
   265	  0.710581	  0.031240
   266	  0.710581	  0.031240
   267	  0.651122	  0.002558
   268	  0.710581	  0.031240
   269	  0.651122	  0.002558
   270	  0.004539	  0.000000
   271	  0.004539	  0.000000
   272	  0.000000	  0.000000
   273	  0.028121	  0.000000
   274	  0.028121	  0.000000
   275	  0.034452	  0.000278
   276	  0.473930	  0.000000
   277	  0.665707	  0.012794
   278	  0.665707	  0.012794
   279	  0.688205	  0.007890
   280	  0.688205	  0.007890
   281	  0.763840	  0.596981
   282	  0.688700	  0.024698
   283	  0.620622	  0.016901
   284	  0.688205	  0.007890
   285	  0.688205	  0.007890
   286	  0.017376	  0.000023
   287	  0.017376	  0.000015
   288	  0.017376	  0.000023
   289	  0.017376	  0.000015
   290	  0.012837	  0.000000
   291	  0.012837	  0.000000
   292	  0.012837	  0.000000
   293	  0.240185	  0.002593
   294	  0.256615	  0.020929
   295	  0.000000	  0.000000
   296	  0.039116	  0.000278
   297	  0.021827	  0.000000
   298	  0.043422	  0.000255
   299	  0.043422	  0.000255
   300	  0.045924	  0.001435
   301	  0.758785	  0.403786
   302	  0.560714	  0.018293
   303	  0.699474	  0.214181
   304	  0.541985	  0.000000
   305	  0.700780	  0.018336
   306	  0.804243	  0.046697
   307	  0.820142	  0.302479
   308	  0.696622	  0.050101
   309	  0.571458	  0.006089
   310	  0.627626	  0.000000
   311	  0.004539	  0.000000
   312	  0.004539	  0.000000
   313	  0.016047	  0.000000
   314	  0.017376	  0.000093
   315	  0.016047	  0.000000
   316	  0.653404	  0.050888
   317	  0.687397	  0.109053
   318	  0.006808	  0.000000
   319	  0.009077	  0.000046
   320	  0.039470	  0.000162
   321	  0.037983	  0.000069
   322	  0.038146	  0.000062
   323	  0.039632	  0.000139
   324	  0.038146	  0.000015
   325	  0.038146	  0.000015
   326	  0.617173	  0.000023
   327	  0.757080	  0.209648
   328	  0.629916	  0.006427
   329	  0.619159	  0.003948
   330	  0.522346	  0.070604
   331	  0.513403	  0.000000
   332	  0.021614	  0.000000
   333	  0.021614	  0.000000
   334	  0.021614	  0.000000
   335	  0.021614	  0.000000
   336	  0.039421	  0.000000
   337	  0.074304	  0.000509
   338	  0.021614	  0.000023
   339	  0.020128	  0.000000
   340	  0.021614	  0.000023
   341	  0.020128	  0.000000
   342	  0.415056	  0.015697
   343	  0.578451	  0.050721
   344	  0.413726	  0.000000
   345	  0.530343	  0.000000
   346	  0.649535	  0.057046
   347	  0.530343	  0.000000
   348	  0.043463	  0.000000
   349	  0.043463	  0.000000
   350	  0.044050	  0.000232
   351	  0.043463	  0.000000
   352	  0.043463	  0.000000
   353	  0.043463	  0.000000
   354	  0.012837	  0.000000
   355	  0.012837	  0.000000
   356	  0.012837	  0.000000
   357	  0.026547	  0.000046
   358	  0.026547	  0.000046
   359	  0.023026	  0.000000
   360	  0.026709	  0.000023
   361	  0.026709	  0.000023
   362	  0.204877	  0.007964
   363	  0.104708	  0.000000
   364	  0.148630	  0.000000
   365	  0.148630	  0.000000
   366	  0.012837	  0.000000
   367	  0.012837	  0.000000
   368	  0.012837	  0.000000
   369	  0.031167	  0.000000
   370	  0.663368	  0.019523
   371	  0.497357	  0.034566
   372	  0.012837	  0.000000
   373	  0.012837	  0.000000
   374	  0.012837	  0.000000
   375	  0.743657	  0.008011
   376	  0.743657	  0.008011
   377	  0.747417	  0.039590
   378	  0.598933	  0.000000
   379	  0.012837	  0.000000
   380	  0.012837	  0.000000
   381	  0.012837	  0.000000
   382	  0.012837	  0.000000
   383	  0.012837	  0.000000
   384	  0.012837	  0.000000
   385	  0.057551	  0.000000
   386	  0.057551	  0.000000
   387	  0.057551	  0.000000
   388	  0.057551	  0.000000
   389	  0.057551	  0.000000
   390	  0.057551	  0.000000
   391	  0.057551	  0.000000
   392	  0.057551	  0.000000
   393	  0.021614	  0.000000
   394	  0.021614	  0.000000
   395	  0.021614	  0.000000
   396	  0.021614	  0.000000
   397	  0.021614	  0.000000
   398	  0.021614	  0.000000
   399	  0.021614	  0.000000
   400	  0.021614	  0.000000
   401	  0.665986	  0.000046
   402	  0.740115	  0.142567
   403	  0.664383	  0.004824
   404	  0.665986	  0.000046
   405	  0.665986	  0.000046
   406	  0.006808	  0.000000
   407	  0.000000	  0.000000
   408	  0.035308	  0.000031
   409	  0.036591	  0.000069
   410	  0.035308	  0.000031
   411	  0.036591	  0.000069
   412	  0.035308	  0.000031
   413	  0.033731	  0.000000
   414	  0.030711	  0.000000
   415	  0.056883	  0.001898
   416	  0.633393	  0.008504
   417	  0.394455	  0.000000
   418	  0.004539	  0.000000
   419	  0.004539	  0.000000
   420	  0.000000	  0.000000
   421	  0.006808	  0.000000
   422	  0.012837	  0.000000
   423	  0.012837	  0.000000
   424	  0.012837	  0.000000
   425	  0.012837	  0.000000
   426	  0.012837	  0.000000
   427	  0.012837	  0.000000
   428	  0.384227	  0.014632
   429	  0.194383	  0.000000
   430	  0.009077	  0.000046
   431	  0.006808	  0.000000
   432	  0.006808	  0.000000
   433	  0.004539	  0.000000
   434	  0.004539	  0.000000
   435	  0.028847	  0.000000
   436	  0.012837	  0.000000
   437	  0.012837	  0.000000
   438	  0.012837	  0.000000
   439	  0.020585	  0.000139
   440	  0.012562	  0.000000
   441	  0.019256	  0.000000
   442	  0.305453	  0.000000
   443	  0.606368	  0.107147
   444	  0.006808	  0.000000
   445	  0.009077	  0.000046
   446	  0.021614	  0.000000
   447	  0.021614	  0.000000
   448	  0.021614	  0.000000
   449	  0.021614	  0.000000
   450	  0.346619	  0.000000
   451	  0.000000	  0.000000
   452	  0.057551	  0.000028
   453	  0.056001	  0.000000
   454	  0.057551	  0.000028
   455	  0.057551	  0.000028
   456	  0.057551	  0.000028
   457	  0.057551	  0.000028
   458	  0.056001	  0.000000
   459	  0.056001	  0.000000
   460	  0.449015	  0.000000
   461	  0.449015	  0.000000
   462	  0.449015	  0.000000
   463	  0.560106	  0.041951
   464	  0.448715	  0.031996
   465	  0.229836	  0.000000
   466	  0.322379	  0.014632
   467	  0.030533	  0.000000
   468	  0.030533	  0.000000
   469	  0.030533	  0.000000
   470	  0.030533	  0.000000
   471	  0.030533	  0.000000
   472	  0.336198	  0.000116
   473	  0.511234	  0.088278
   474	  0.367546	  0.000000
   475	  0.020585	  0.000139
   476	  0.012562	  0.000000
   477	  0.019256	  0.000000
   478	  0.020585	  0.000139
   479	  0.073431	  0.000000
   480	  0.073431	  0.000000
   481	  0.078727	  0.001852
   482	  0.081602	  0.002361
   483	  0.004539	  0.000000
   484	  0.004539	  0.000000
   485	  0.440497	  0.000000
   486	  0.004539	  0.000000
   487	  0.004539	  0.000000
   488	  0.783541	  0.000000
   489	  0.783541	  0.000000
   490	  0.664308	  0.047392
   491	  0.489334	  0.000116
   492	  0.334423	  0.000000
   493	  0.489334	  0.000116
   494	  0.030992	  0.000000
   495	  0.030992	  0.000000
   496	  0.038512	  0.000556
   497	  0.004539	  0.000000
   498	  0.004539	  0.000000
   499	  0.352006	  0.000000
   500	  0.583166	  0.046234
   501	  0.298861	  0.008421
   502	  0.156514	  0.000046
   503	  0.215476	  0.008427
   504	  0.000000	  0.000000
   505	  0.004539	  0.000000
   506	  0.004539	  0.000000
   507	  0.589297	  0.000000
   508	  0.589297	  0.000000
   509	  0.741064	  0.015558
   510	  0.000000	  0.000000
   511	  0.004539	  0.000000
   512	  0.004539	  0.000000
   513	  0.039466	  0.000509
   514	  0.578093	  0.000000
   515	  0.580469	  0.000926
   516	  0.759305	  0.748273
   517	  0.726479	  0.161384
   518	  0.004539	  0.000000
   519	  0.004539	  0.000000
   520	  0.004539	  0.000000
   521	  0.004539	  0.000000
   522	  0.219718	  0.013544
   523	  0.244185	  0.021184
   524	  0.215595	  0.001991
   525	  0.214873	  0.000000
   526	  0.214873	  0.000000
   527	  0.056632	  0.000000
   528	  0.004539	  0.000000
   529	  0.004539	  0.000000
   530	  0.044670	  0.000046
   531	  0.044670	  0.000046
   532	  0.044670	  0.000046
   533	  0.040430	  0.000000
   534	  0.004539	  0.000000
   535	  0.004539	  0.000000
   536	  0.000000	  0.000000
   537	  0.048161	  0.000602
   538	  0.038310	  0.000000
   539	  0.040163	  0.000046
   540	  0.042684	  0.000000
   541	  0.042684	  0.000000
   542	  0.042684	  0.000000
   543	  0.000000	  0.000000
   544	  0.004539	  0.000000
   545	  0.004539	  0.000000
   546	  0.254448	  0.000000
   547	  0.504358	  0.044915
   548	  0.553392	  0.006344
   549	  0.553392	  0.006344
   550	  0.444575	  0.000046
   551	  0.000000	  0.000000
   552	  0.012837	  0.000000
   553	  0.012837	  0.000000
   554	  0.012837	  0.000000
   555	  0.000000	  0.000000
   556	  0.012837	  0.000000
   557	  0.012837	  0.000000
   558	  0.012837	  0.000000
   559	  0.004539	  0.000000
   560	  0.004539	  0.000000
   561	  0.850753	  0.000062
   562	  0.971625	  0.421711
   563	  0.034841	  0.000556
   564	  0.032112	  0.000000
   565	  0.032112	  0.000000
   566	  0.032112	  0.000000
   567	  0.028215	  0.000000
   568	  0.004539	  0.000000
   569	  0.004539	  0.000000
   570	  0.004539	  0.000000
   571	  0.004539	  0.000000
   572	  0.004539	  0.000000
   573	  0.004539	  0.000000
   574	  0.446359	  0.000023
   575	  0.544813	  0.000000
   576	  0.544813	  0.000000
   577	  0.004539	  0.000000
   578	  0.004539	  0.000000
   579	  0.000000	  0.000000
   580	  0.012837	  0.000000
   581	  0.012837	  0.000000
   582	  0.012837	  0.000000
   583	  0.004539	  0.000000
   584	  0.004539	  0.000000
   585	  0.420703	  0.006189
   586	  0.420703	  0.006189
   587	  0.339260	  0.000046
   588	  0.000000	  0.000000
   589	  0.320635	  0.000031
   590	  0.438822	  0.080090
   591	  0.320635	  0.000031
   592	  0.354000	  0.000000
   593	  0.004539	  0.000000
   594	  0.004539	  0.000000
   595	  0.532832	  0.000000
   596	  0.588903	  0.081975
   597	  0.013616	  0.000093
   598	  0.009077	  0.000000
   599	  0.004539	  0.000000
   600	  0.004539	  0.000000
   601	  0.000000	  0.000000
   602	  0.004539	  0.000000
   603	  0.004539	  0.000000
   604	  0.000000	  0.000000
   605	  0.000000	  0.000000
   606	  0.031803	  0.000000
   607	  0.031803	  0.000000
   608	  0.031803	  0.000000
   609	  0.284379	  0.000046
   610	  0.312433	  0.000000
   611	  0.351557	  0.006228
   612	  0.351557	  0.006228
   613	  0.000000	  0.000000
   614	  0.004539	  0.000000
   615	  0.004539	  0.000000
   616	  0.004539	  0.000000
   617	  0.004539	  0.000000
   618	  0.012837	  0.000000
   619	  0.012837	  0.000000
   620	  0.012837	  0.000000
   621	  0.004539	  0.000000
   622	  0.004539	  0.000000
   623	  0.004539	  0.000000
   624	  0.004539	  0.000000
   625	  0.021614	  0.000000
   626	  0.021614	  0.000000
   627	  0.021614	  0.000000
   628	  0.021614	  0.000000
   629	  0.060396	  0.000154
   630	  0.047795	  0.000023
   631	  0.078215	  0.002130
   632	  0.004539	  0.000000
   633	  0.004539	  0.000000
   634	  0.000000	  0.000000
   635	  0.012837	  0.000000
   636	  0.012837	  0.000000
   637	  0.012837	  0.000000
   638	  0.617206	  0.039150
   639	  0.684101	  0.015212
   640	  0.310872	  0.000000
   641	  0.463871	  0.000000
   642	  0.017376	  0.000093
   643	  0.010957	  0.000000
   644	  0.000000	  0.000000
   645	  0.173238	  0.000008
   646	  0.467080	  0.000000
   647	  0.004539	  0.000000
   648	  0.004539	  0.000000
   649	  0.000000	  0.000000
   650	  0.031803	  0.000069
   651	  0.031803	  0.000069
   652	  0.868858	  0.100349
   653	  0.714640	  0.003380
   654	  0.672413	  0.041629
   655	  0.868858	  0.100349
   656	  0.714640	  0.003380
   657	  0.855822	  0.009483
   658	  0.021614	  0.000000
   659	  0.021614	  0.000000
   660	  0.021614	  0.000000
   661	  0.021614	  0.000000
   662	  0.057351	  0.000764
   663	  0.051020	  0.000069
   664	  0.054105	  0.000062
   665	  0.054105	  0.000062
   666	  0.054105	  0.000062
   667	  0.004539	  0.000000
   668	  0.004539	  0.000000
   669	  0.013616	  0.000185
   670	  0.015885	  0.000278
   671	  0.009077	  0.000000
   672	  0.004539	  0.000000
   673	  0.004539	  0.000000
   674	  0.548219	  0.000000
   675	  0.437003	  0.000000
   676	  0.443334	  0.041118
   677	  0.044313	  0.000000
   678	  0.012837	  0.000000
   679	  0.012837	  0.000000
   680	  0.012837	  0.000000
   681	  0.021614	  0.000000
   682	  0.021614	  0.000000
   683	  0.021614	  0.000000
   684	  0.021614	  0.000000
   685	  0.221494	  0.000000
   686	  0.024295	  0.000000
   687	  0.000000	  0.000000
   688	  0.000000	  0.000000
   689	  0.043864	  0.000093
   690	  0.043864	  0.000093
   691	  0.000000	  0.000000
   692	  0.209797	  0.000000
   693	  0.457577	  0.000000
   694	  0.516965	  0.002381
   695	  0.520918	  0.070355
   696	  0.516965	  0.002381
   697	  0.582987	  0.117277
   698	  0.516965	  0.002381
   699	  0.006808	  0.000000
   700	  0.611986	  0.000000
   701	  0.611986	  0.000000
   702	  0.611986	  0.000000
   703	  0.000000	  0.000000
   704	  0.021614	  0.000000
   705	  0.021614	  0.000000
   706	  0.021614	  0.000000
   707	  0.021614	  0.000000
   708	  0.624653	  0.000000
   709	  0.798243	  0.521226
   710	  0.715214	  0.023893
   711	  0.023795	  0.000278
   712	  0.016047	  0.000000
   713	  0.016047	  0.000000
   714	  0.000000	  0.000000
   715	  0.442896	  0.000000
   716	  0.442896	  0.000000
   717	  0.442896	  0.000000
   718	  0.442896	  0.000000
   719	  0.015107	  0.000093
   720	  0.005479	  0.000000
   721	  0.017020	  0.000324
   722	  0.000000	  0.000000
   723	  0.021614	  0.000000
   724	  0.021614	  0.000000
   725	  0.021614	  0.000000
   726	  0.021614	  0.000000
   727	  0.000000	  0.000000
   728	  0.000000	  0.000000
   729	  0.374036	  0.000000
   730	  0.004539	  0.000000
   731	  0.004539	  0.000000
   732	  0.012837	  0.000000
   733	  0.012837	  0.000000
   734	  0.012837	  0.000000
   735	  0.000000	  0.000000
   736	  0.517718	  0.000000
   737	  0.517718	  0.000000
   738	  0.595473	  0.000000
   739	  0.305453	  0.000000
   740	  0.000000	  0.000000
   741	  0.000000	  0.000000
   742	  0.239100	  0.013636
   743	  0.232039	  0.003504
   744	  0.175811	  0.002639
   745	  0.121819	  0.000000
   746	  0.247548	  0.014215
   747	  0.004539	  0.000000
   748	  0.004539	  0.000000
   749	  0.000000	  0.000000
   750	  0.004539	  0.000000
   751	  0.004539	  0.000000
   752	  0.014442	  0.000000
   753	  0.014442	  0.000000
   754	  0.004539	  0.000000
   755	  0.004539	  0.000000
   756	  0.985765	  0.982012
   757	  0.851828	  0.306074
   758	  0.851828	  0.306074
   759	  0.663368	  0.026226
   760	  0.708987	  0.000000
   761	  0.915374	  0.045030
   762	  0.916384	  0.000000
   763	  0.916384	  0.000000
   764	  0.807085	  0.000000
   765	  0.816549	  0.063436
   766	  0.021614	  0.000000
   767	  0.021614	  0.000000
   768	  0.021614	  0.000000
   769	  0.021614	  0.000000
   770	  0.594385	  0.003837
   771	  0.594385	  0.003837
   772	  0.594385	  0.003837
   773	  0.594385	  0.003837
   774	  0.765026	  0.027250
   775	  0.885809	  0.083625
   776	  0.806070	  0.049545
   777	  0.004539	  0.000000
   778	  0.004539	  0.000000
   779	  0.000000	  0.000000
   780	  0.030992	  0.000000
   781	  0.030992	  0.000000
   782	  0.000000	  0.000000
   783	  0.047795	  0.000023
   784	  0.060396	  0.000154
   785	  0.012837	  0.000000
   786	  0.012837	  0.000000
   787	  0.012837	  0.000000
   788	  0.655159	  0.000255
   789	  0.011347	  0.000000
   790	  0.011347	  0.000000
   791	  0.000000	  0.000000
   792	  0.049979	  0.000000
   793	  0.049979	  0.000000
   794	  0.049979	  0.000000
   795	  0.160122	  0.000000
   796	  0.160122	  0.000000
   797	  0.160122	  0.000000
   798	  0.160122	  0.000000
   799	  0.039512	  0.000000
   800	  0.039512	  0.000000
   801	  0.039512	  0.000000
   802	  0.039512	  0.000000
   803	  0.039512	  0.000000
   804	  0.039512	  0.000000
   805	  0.195879	  0.000361
   806	  0.197174	  0.001033
   807	  0.195879	  0.000361
   808	  0.185547	  0.000000
   809	  0.004539	  0.000000
   810	  0.004539	  0.000000
   811	  0.000000	  0.000000
   812	  0.004539	  0.000000
   813	  0.004539	  0.000000
   814	  0.012837	  0.000000
   815	  0.012837	  0.000000
   816	  0.012837	  0.000000
   817	  0.004539	  0.000000
   818	  0.004539	  0.000000
   819	  0.006808	  0.000000
   820	  0.009077	  0.000046
   821	  0.021614	  0.000000
   822	  0.021614	  0.000000
   823	  0.021614	  0.000000
   824	  0.021614	  0.000000
   825	  0.075641	  0.000000
   826	  0.075641	  0.000000
   827	  0.075641	  0.000000
   828	  0.075641	  0.000000
   829	  0.075641	  0.000000
   830	  0.075641	  0.000000
   831	  0.075641	  0.000000
   832	  0.075641	  0.000000
   833	  0.075641	  0.000000
   834	  0.075641	  0.000000
   835	  0.012837	  0.000000
   836	  0.012837	  0.000000
   837	  0.012837	  0.000000
   838	  0.000000	  0.000000
   839	  0.851322	  0.000000
   840	  0.862537	  0.016229
   841	  0.034039	  0.000000
   842	  0.034039	  0.000000
   843	  0.045480	  0.000695
   844	  0.021614	  0.000000
   845	  0.021614	  0.000000
   846	  0.021614	  0.000000
   847	  0.021614	  0.000000
   848	  0.004539	  0.000000
   849	  0.004539	  0.000000
   850	  0.012837	  0.000000
   851	  0.012837	  0.000000
   852	  0.012837	  0.000000
   853	  0.657893	  0.016808
   854	  0.000000	  0.000000
   855	  0.012837	  0.000000
   856	  0.012837	  0.000000
   857	  0.012837	  0.000000
   858	  0.000000	  0.000000
   859	  0.010957	  0.000000
   860	  0.231619	  0.005556
   861	  0.167539	  0.000000
   862	  0.167539	  0.000000
   863	  0.479228	  0.000000
   864	  0.479228	  0.000000
   865	  0.735269	  0.000000
   866	  0.355445	  0.000000
   867	  0.355445	  0.000000
   868	  0.000000	  0.000000
   869	  0.000000	  0.000000
   870	  0.034349	  0.000000
   871	  0.034349	  0.000000
   872	  0.035071	  0.000185
   873	  0.034349	  0.000000
   874	  0.034349	  0.000000
   875	  0.000000	  0.000000
   876	  0.000000	  0.000000
   877	  0.030533	  0.000000
   878	  0.030533	  0.000000
   879	  0.030533	  0.000000
   880	  0.030533	  0.000000
   881	  0.030533	  0.000000
   882	  0.004539	  0.000000
   883	  0.012837	  0.000000
   884	  0.012837	  0.000000
   885	  0.012837	  0.000000
   886	  0.004539	  0.000000
   887	  0.004539	  0.000000
   888	  0.012837	  0.000000
   889	  0.012837	  0.000000
   890	  0.012837	  0.000000
   891	  0.000000	  0.000000
   892	  0.918817	  0.089505
   893	  0.726863	  0.210219
   894	  0.741970	  0.004124
   895	  0.030533	  0.000000
   896	  0.030533	  0.000000
   897	  0.030533	  0.000000
   898	  0.030533	  0.000000
   899	  0.030533	  0.000000
   900	  0.017376	  0.000093
   901	  0.016047	  0.000000
   902	  0.016047	  0.000000
   903	  0.012837	  0.000000
   904	  0.012837	  0.000000
   905	  0.012837	  0.000000
   906	  0.004539	  0.000000
   907	  0.004539	  0.000000
   908	  0.702023	  0.000000
   909	  0.012837	  0.000000
   910	  0.012837	  0.000000
   911	  0.012837	  0.000000
   912	  0.165902	  0.000000
   913	  0.179965	  0.001551
   914	  0.172742	  0.000116
   915	  0.172742	  0.000116
   916	  0.182554	  0.002662
   917	  0.165902	  0.000000
   918	  0.010957	  0.000000
   919	  0.000000	  0.000000
   920	  0.004539	  0.000000
   921	  0.004539	  0.000000
   922	  0.030711	  0.000000
   923	  0.012837	  0.000000
   924	  0.012837	  0.000000
   925	  0.012837	  0.000000
   926	  0.010957	  0.000000
   927	  0.032527	  0.000000
   928	  0.000000	  0.000000
   929	  0.006808	  0.000000
   930	  0.009077	  0.000046
