1899 13838
12 339 3.0
12 446 2.0
12 902 1.0
12 920 1.0
14 0 5.0
14 3 4.0
14 234 2.0
14 573 6.0
15 0 5.0
15 5 12.0
15 7 2.0
15 8 1.0
15 57 3.0
15 294 1.0
15 297 1.0
15 444 1.0
15 446 2.0
15 508 1.0
15 516 1.0
15 638 1.0
15 702 6.0
15 1063 1.0
15 1229 1.0
15 1284 1.0
15 1285 1.0
16 0 3.0
17 0 1.0
17 4 9.0
17 50 2.0
17 65 1.0
17 236 7.0
17 269 3.0
17 407 1.0
17 625 18.0
17 1067 2.0
18 6 1.0
18 17 8.0
18 39 1.0
18 51 4.0
18 76 1.0
18 122 1.0
18 236 6.0
18 445 1.0
18 446 1.0
18 630 1.0
18 707 3.0
18 712 2.0
18 716 2.0
18 765 1.0
18 864 2.0
18 911 1.0
18 953 9.0
18 1175 2.0
18 1395 1.0
18 1396 1.0
19 0 58.0
19 2 4.0
19 10 4.0
19 57 1.0
20 6 28.0
20 14 2.0
20 17 61.0
20 25 5.0
20 43 76.0
20 47 42.0
20 49 3.0
20 61 1.0
20 68 5.0
20 70 5.0
20 72 1.0
20 74 4.0
20 76 1.0
20 83 1.0
20 103 1.0
20 126 3.0
20 132 10.0
20 195 27.0
20 196 3.0
20 199 16.0
20 210 2.0
20 223 4.0
20 235 14.0
20 238 1.0
20 262 2.0
20 269 1.0
20 273 1.0
20 279 1.0
20 325 1.0
20 470 4.0
20 472 13.0
20 483 4.0
20 496 32.0
20 585 1.0
20 598 1.0
20 700 6.0
20 868 5.0
20 875 2.0
20 909 1.0
20 913 2.0
20 916 2.0
20 957 1.0
20 1001 1.0
20 1003 2.0
20 1004 1.0
20 1021 2.0
20 1064 5.0
20 1065 3.0
20 1078 1.0
20 1176 1.0
20 1276 86.0
20 1348 1.0
20 1426 2.0
20 1427 1.0
20 1428 1.0
20 1431 1.0
20 1433 2.0
20 1434 3.0
20 1435 1.0
20 1436 3.0
22 0 13.0
22 71 3.0
23 0 2.0
23 18 3.0
23 37 45.0
23 44 5.0
23 49 5.0
23 57 3.0
23 58 1.0
23 67 1.0
23 79 6.0
23 86 1.0
23 97 1.0
23 148 1.0
23 184 1.0
23 196 3.0
23 202 1.0
23 224 8.0
23 265 1.0
23 281 1.0
23 291 2.0
23 315 4.0
23 320 1.0
23 331 10.0
23 355 1.0
23 459 3.0
23 514 1.0
23 516 1.0
23 532 1.0
23 542 1.0
23 543 1.0
23 662 1.0
23 688 1.0
23 691 1.0
23 694 1.0
23 712 2.0
23 793 2.0
23 975 1.0
23 1037 2.0
23 1074 1.0
23 1113 3.0
23 1159 1.0
23 1178 6.0
23 1312 1.0
23 1375 1.0
23 1623 1.0
24 0 1.0
24 91 1.0
24 194 1.0
24 198 1.0
24 335 1.0
24 698 1.0
25 0 3.0
25 3 3.0
25 10 3.0
25 19 2.0
25 36 2.0
25 229 1.0
25 693 1.0
25 747 2.0
25 1216 4.0
26 0 8.0
26 17 1.0
26 22 4.0
26 227 3.0
26 573 2.0
27 0 2.0
27 4 1.0
27 17 2.0
27 49 7.0
27 61 15.0
27 64 4.0
27 70 3.0
27 142 2.0
27 253 83.0
27 277 2.0
27 444 15.0
27 585 1.0
27 819 3.0
27 1306 4.0
27 1405 6.0
27 1480 4.0
28 6 3.0
28 69 3.0
28 103 1.0
28 141 2.0
28 169 2.0
28 253 3.0
28 633 1.0
28 737 2.0
28 1123 3.0
28 1399 1.0
28 1419 2.0
28 1821 1.0
28 1822 1.0
29 0 16.0
29 19 8.0
29 411 7.0
30 0 1.0
30 4 1.0
30 35 2.0
30 64 3.0
30 110 2.0
30 195 2.0
30 414 2.0
30 470 2.0
30 601 2.0
30 1386 1.0
31 0 4.0
31 4 13.0
31 49 5.0
31 93 2.0
31 132 1.0
31 200 1.0
31 269 8.0
31 353 6.0
31 671 7.0
31 673 1.0
31 1184 2.0
31 1419 1.0
35 8 1.0
35 10 1.0
35 11 5.0
35 22 2.0
35 23 4.0
35 27 7.0
35 40 6.0
35 44 11.0
35 47 1.0
35 65 1.0
35 69 18.0
35 70 9.0
35 71 1.0
35 75 1.0
35 83 2.0
35 87 1.0
35 99 4.0
35 102 4.0
35 104 6.0
35 109 1.0
35 129 5.0
35 141 11.0
35 142 1.0
35 154 4.0
35 155 4.0
35 158 2.0
35 172 2.0
35 173 4.0
35 180 1.0
35 201 10.0
35 203 9.0
35 206 2.0
35 213 1.0
35 218 3.0
35 223 1.0
35 225 1.0
35 227 19.0
35 231 56.0
35 244 2.0
35 245 7.0
35 251 1.0
35 252 1.0
35 254 2.0
35 255 1.0
35 256 1.0
35 257 1.0
35 258 1.0
35 259 1.0
35 260 2.0
35 261 1.0
35 262 3.0
35 263 1.0
35 264 1.0
35 265 3.0
35 266 2.0
35 267 2.0
35 268 1.0
35 270 3.0
35 271 1.0
35 272 1.0
35 274 5.0
35 275 1.0
35 276 1.0
35 277 4.0
35 278 1.0
35 280 1.0
35 281 1.0
35 282 1.0
35 283 1.0
35 284 1.0
35 285 1.0
35 286 1.0
35 287 1.0
35 288 1.0
35 289 9.0
35 290 21.0
35 291 1.0
35 292 2.0
35 293 1.0
35 294 2.0
35 295 2.0
35 296 1.0
35 297 1.0
35 298 2.0
35 300 1.0
35 302 1.0
35 303 2.0
35 304 4.0
35 305 2.0
35 306 2.0
35 307 1.0
35 308 8.0
35 309 3.0
35 310 1.0
35 311 3.0
35 312 3.0
35 313 2.0
35 314 1.0
35 315 7.0
35 316 7.0
35 317 6.0
35 318 10.0
35 319 2.0
35 320 1.0
35 321 1.0
35 322 4.0
35 323 2.0
35 324 1.0
35 325 5.0
35 326 5.0
35 327 1.0
35 328 2.0
35 329 1.0
35 330 1.0
35 331 42.0
35 332 15.0
35 333 8.0
35 335 5.0
35 336 2.0
35 337 1.0
35 338 1.0
35 339 14.0
35 341 1.0
35 342 3.0
35 344 1.0
35 345 2.0
35 346 2.0
35 347 1.0
35 349 1.0
35 350 2.0
35 352 1.0
35 353 1.0
35 354 1.0
35 355 1.0
35 357 1.0
35 358 2.0
35 359 1.0
35 360 1.0
35 361 1.0
35 362 1.0
35 363 1.0
35 364 2.0
35 367 1.0
35 369 2.0
35 371 1.0
35 372 1.0
35 373 1.0
35 375 3.0
35 377 2.0
35 379 2.0
35 383 1.0
35 384 1.0
35 386 1.0
35 388 1.0
35 390 2.0
35 391 5.0
35 392 2.0
35 393 12.0
35 394 2.0
35 395 1.0
35 396 1.0
35 397 1.0
35 398 2.0
35 399 1.0
35 400 1.0
35 402 1.0
35 403 6.0
35 405 1.0
35 406 1.0
35 408 1.0
35 409 1.0
35 410 2.0
35 413 1.0
35 414 1.0
35 416 1.0
35 418 1.0
35 421 1.0
35 422 1.0
35 423 1.0
35 424 1.0
35 425 1.0
35 426 1.0
35 427 1.0
35 429 1.0
35 430 1.0
35 432 1.0
35 433 1.0
35 434 1.0
35 435 5.0
36 194 1.0
36 198 1.0
36 209 1.0
36 314 1.0
37 35 4.0
37 57 2.0
37 59 3.0
37 61 1.0
37 131 1.0
37 211 4.0
37 253 5.0
37 578 1.0
37 580 6.0
37 583 1.0
37 584 20.0
37 593 1.0
37 598 1.0
38 2 2.0
38 4 6.0
38 10 1.0
38 40 3.0
38 53 1.0
38 55 6.0
38 56 5.0
38 70 8.0
38 75 1.0
38 118 1.0
38 124 1.0
38 171 1.0
38 177 2.0
38 197 5.0
38 204 2.0
38 206 1.0
38 212 1.0
38 215 1.0
38 216 1.0
38 218 1.0
38 222 2.0
38 224 1.0
38 252 1.0
38 254 1.0
38 255 1.0
38 265 1.0
38 266 3.0
38 267 1.0
38 268 1.0
38 270 3.0
38 271 1.0
38 272 1.0
38 273 3.0
38 275 2.0
38 287 1.0
38 288 1.0
38 290 31.0
38 293 1.0
38 297 1.0
38 298 1.0
38 316 1.0
38 320 3.0
38 321 4.0
38 326 4.0
38 327 1.0
38 329 2.0
38 330 1.0
38 331 9.0
38 338 2.0
38 346 1.0
38 363 1.0
38 374 1.0
38 407 1.0
38 423 1.0
38 439 1.0
38 441 1.0
38 442 1.0
38 449 17.0
38 451 2.0
38 453 2.0
38 455 5.0
38 459 2.0
38 460 1.0
38 467 3.0
38 470 1.0
38 473 2.0
38 479 1.0
38 500 1.0
38 506 1.0
38 511 2.0
38 514 1.0
38 516 1.0
38 518 1.0
38 520 3.0
38 522 1.0
38 533 1.0
38 580 2.0
38 608 1.0
38 616 2.0
38 620 1.0
38 625 1.0
38 627 2.0
38 629 1.0
38 645 3.0
38 657 1.0
38 668 3.0
38 694 1.0
38 713 2.0
38 732 1.0
38 734 2.0
38 735 4.0
38 736 2.0
38 737 2.0
38 738 2.0
38 739 1.0
38 740 1.0
38 742 2.0
38 743 1.0
38 744 1.0
38 745 1.0
38 746 1.0
38 748 5.0
38 749 1.0
38 750 1.0
38 751 1.0
38 752 1.0
38 753 9.0
38 754 1.0
38 755 3.0
38 757 1.0
38 758 1.0
38 759 1.0
38 760 2.0
38 762 2.0
38 763 1.0
38 764 2.0
38 765 1.0
38 767 1.0
38 768 1.0
38 778 1.0
38 779 1.0
38 780 1.0
38 782 1.0
38 785 1.0
38 786 1.0
38 787 1.0
38 789 1.0
38 791 1.0
38 792 1.0
39 2 7.0
39 40 3.0
39 265 1.0
39 272 1.0
39 275 1.0
39 281 1.0
39 287 1.0
39 322 1.0
39 324 1.0
39 327 2.0
39 338 1.0
39 517 1.0
39 522 1.0
39 616 1.0
39 631 1.0
39 657 1.0
39 732 1.0
39 757 1.0
39 896 1.0
39 897 1.0
39 898 1.0
40 231 1.0
41 551 1.0
41 716 1.0
42 41 4.0
42 68 2.0
42 75 1.0
42 202 1.0
42 237 1.0
42 271 1.0
42 278 1.0
42 299 2.0
42 313 3.0
42 333 1.0
42 614 1.0
42 627 1.0
42 698 2.0
42 714 4.0
42 760 3.0
42 946 5.0
42 947 1.0
42 948 1.0
42 949 1.0
42 951 2.0
42 952 1.0
43 2 3.0
43 11 1.0
43 124 1.0
43 195 1.0
43 266 2.0
43 267 3.0
43 333 1.0
43 349 1.0
43 735 1.0
43 814 1.0
43 1000 1.0
44 2 7.0
44 3 2.0
44 6 19.0
44 761 1.0
44 822 1.0
44 1012 2.0
45 40 1.0
45 57 1.0
45 124 1.0
45 305 1.0
45 313 1.0
45 314 2.0
45 351 1.0
45 460 3.0
45 616 1.0
45 925 1.0
45 1036 1.0
46 133 1.0
46 231 2.0
46 272 1.0
46 357 1.0
46 528 3.0
46 635 1.0
46 656 2.0
46 735 1.0
47 2 1.0
47 4 3.0
47 814 1.0
48 231 6.0
48 237 2.0
48 286 1.0
48 1072 1.0
49 4 11.0
49 6 3.0
49 7 3.0
49 8 1.0
49 10 1.0
49 30 1.0
49 35 1.0
49 37 1.0
49 38 1.0
49 40 1.0
49 44 2.0
49 51 2.0
49 83 1.0
49 84 1.0
49 99 1.0
49 104 5.0
49 107 9.0
49 118 1.0
49 121 1.0
49 133 1.0
49 136 1.0
49 144 1.0
49 154 1.0
49 163 1.0
49 171 1.0
49 197 1.0
49 206 1.0
49 209 1.0
49 212 2.0
49 217 1.0
49 222 1.0
49 226 1.0
49 231 2.0
49 232 1.0
49 235 1.0
49 242 1.0
49 243 2.0
49 265 8.0
49 266 2.0
49 267 3.0
49 273 1.0
49 292 1.0
49 306 1.0
49 330 1.0
49 331 1.0
49 335 7.0
49 339 1.0
49 340 1.0
49 344 1.0
49 346 2.0
49 363 3.0
49 364 1.0
49 393 1.0
49 406 1.0
49 414 1.0
49 420 1.0
49 428 1.0
49 442 1.0
49 443 1.0
49 466 4.0
49 472 1.0
49 485 1.0
49 487 1.0
49 489 1.0
49 490 1.0
49 498 13.0
49 500 1.0
49 518 1.0
49 538 1.0
49 546 1.0
49 550 1.0
49 551 1.0
49 552 1.0
49 573 3.0
49 615 1.0
49 625 1.0
49 630 1.0
49 635 1.0
49 637 1.0
49 640 1.0
49 651 1.0
49 652 1.0
49 662 1.0
49 665 1.0
49 669 1.0
49 708 1.0
49 761 1.0
49 779 1.0
49 780 1.0
49 796 1.0
49 804 1.0
49 809 2.0
49 810 1.0
49 821 1.0
49 822 1.0
49 891 2.0
49 950 2.0
49 956 1.0
49 966 1.0
49 1009 1.0
49 1010 1.0
49 1021 1.0
49 1025 1.0
49 1069 1.0
49 1084 1.0
49 1086 1.0
49 1108 1.0
49 1109 1.0
49 1110 1.0
49 1111 1.0
49 1113 1.0
49 1115 1.0
49 1116 1.0
49 1117 1.0
49 1118 1.0
49 1119 5.0
49 1120 1.0
49 1121 1.0
49 1122 1.0
49 1123 1.0
49 1124 1.0
49 1125 1.0
49 1126 1.0
49 1127 1.0
49 1128 1.0
49 1129 1.0
49 1130 2.0
49 1131 1.0
49 1132 1.0
49 1133 1.0
49 1134 1.0
49 1135 1.0
49 1136 1.0
49 1137 2.0
49 1138 1.0
49 1139 1.0
49 1140 1.0
49 1141 1.0
49 1142 1.0
49 1143 1.0
49 1145 2.0
49 1146 2.0
49 1147 1.0
49 1151 1.0
49 1153 1.0
50 2 1.0
50 4 2.0
50 6 6.0
50 35 4.0
50 38 1.0
50 39 1.0
50 47 3.0
50 48 10.0
50 49 2.0
50 56 2.0
50 69 1.0
50 77 1.0
50 195 14.0
50 210 1.0
50 216 1.0
50 233 1.0
50 253 10.0
50 276 3.0
50 279 13.0
50 299 1.0
50 329 1.0
50 444 3.0
50 713 1.0
50 773 1.0
50 1028 1.0
50 1037 1.0
50 1076 1.0
50 1186 1.0
50 1187 1.0
50 1188 1.0
50 1189 1.0
50 1190 1.0
50 1192 1.0
50 1194 1.0
50 1197 1.0
50 1198 1.0
50 1199 1.0
50 1200 1.0
50 1204 1.0
50 1206 1.0
51 2 4.0
51 4 3.0
51 231 1.0
51 262 1.0
51 573 4.0
52 85 1.0
52 331 1.0
52 336 2.0
52 446 2.0
52 535 1.0
52 668 1.0
52 1027 1.0
52 1218 1.0
52 1219 1.0
52 1220 1.0
52 1221 1.0
53 43 3.0
53 444 1.0
53 598 2.0
54 4 2.0
54 6 1.0
54 8 15.0
54 10 1.0
54 38 9.0
54 40 1.0
54 44 2.0
54 55 1.0
54 56 1.0
54 58 1.0
54 59 1.0
54 67 4.0
54 77 1.0
54 104 1.0
54 122 1.0
54 200 2.0
54 203 1.0
54 208 2.0
54 216 2.0
54 231 1.0
54 235 1.0
54 259 1.0
54 267 2.0
54 272 1.0
54 273 1.0
54 275 1.0
54 281 1.0
54 286 1.0
54 289 1.0
54 290 1.0
54 291 1.0
54 293 1.0
54 294 2.0
54 298 1.0
54 304 2.0
54 307 1.0
54 308 1.0
54 321 4.0
54 331 2.0
54 333 1.0
54 442 3.0
54 451 1.0
54 452 1.0
54 455 11.0
54 520 13.0
54 522 1.0
54 573 10.0
54 580 2.0
54 622 2.0
54 691 1.0
54 694 1.0
54 733 1.0
54 734 2.0
54 738 2.0
54 743 1.0
54 744 1.0
54 745 1.0
54 746 5.0
54 791 1.0
54 795 1.0
54 798 1.0
54 823 1.0
54 872 1.0
54 895 1.0
54 913 1.0
54 954 1.0
54 992 2.0
54 1040 1.0
54 1069 1.0
54 1223 1.0
54 1224 1.0
54 1225 1.0
54 1226 1.0
54 1227 1.0
54 1228 1.0
54 1229 1.0
54 1230 1.0
54 1232 1.0
54 1234 1.0
54 1236 1.0
55 2 2.0
55 49 3.0
55 269 6.0
55 290 2.0
55 1237 2.0
56 4 1.0
56 273 1.0
56 274 1.0
56 573 4.0
56 710 1.0
57 0 1.0
57 4 3.0
57 6 2.0
57 10 2.0
57 35 2.0
57 36 1.0
57 41 2.0
57 42 9.0
57 44 1.0
57 47 2.0
57 48 3.0
57 53 1.0
57 58 4.0
57 62 2.0
57 91 1.0
57 107 1.0
57 113 1.0
57 122 2.0
57 209 1.0
57 214 1.0
57 224 1.0
57 227 1.0
57 236 1.0
57 243 3.0
57 273 3.0
57 276 2.0
57 281 1.0
57 303 2.0
57 326 1.0
57 330 1.0
57 349 1.0
57 363 1.0
57 441 1.0
57 465 1.0
57 484 1.0
57 534 6.0
57 580 2.0
57 583 1.0
57 618 1.0
57 624 1.0
57 638 1.0
57 645 1.0
57 713 1.0
57 718 1.0
57 741 2.0
57 745 1.0
57 756 1.0
57 778 1.0
57 798 1.0
57 801 1.0
57 913 2.0
57 972 2.0
57 1001 2.0
57 1003 1.0
57 1009 1.0
57 1037 1.0
57 1038 1.0
57 1064 1.0
57 1088 1.0
57 1104 1.0
57 1120 1.0
57 1155 2.0
57 1186 1.0
57 1189 1.0
57 1230 1.0
57 1237 2.0
57 1251 1.0
57 1254 1.0
57 1255 1.0
57 1258 1.0
57 1259 1.0
57 1260 1.0
57 1261 1.0
57 1262 1.0
58 8 1.0
58 40 2.0
58 44 2.0
58 87 1.0
58 89 1.0
58 141 1.0
58 259 1.0
58 303 1.0
58 320 1.0
58 331 2.0
58 336 1.0
58 337 1.0
58 387 1.0
58 453 2.0
58 573 6.0
58 814 1.0
58 822 1.0
58 925 1.0
58 1027 1.0
58 1079 1.0
58 1120 1.0
58 1265 1.0
58 1266 1.0
58 1268 1.0
58 1269 1.0
58 1272 1.0
59 2 2.0
59 14 7.0
59 15 2.0
59 193 2.0
59 446 1.0
60 44 2.0
60 50 2.0
60 231 1.0
60 289 6.0
60 355 1.0
60 515 7.0
60 724 2.0
60 1091 1.0
61 50 1.0
61 57 2.0
61 167 1.0
61 330 1.0
61 336 1.0
61 342 3.0
61 363 1.0
61 515 7.0
61 572 1.0
61 645 1.0
61 698 4.0
61 738 1.0
61 741 2.0
61 773 2.0
61 893 1.0
62 55 4.0
62 85 1.0
62 292 6.0
62 298 1.0
62 333 1.0
62 446 4.0
62 528 1.0
62 573 9.0
62 623 1.0
62 714 1.0
62 1309 1.0
63 1073 1.0
64 4 5.0
64 6 1.0
64 7 16.0
64 18 4.0
64 44 1.0
64 50 1.0
64 57 1.0
64 69 5.0
64 107 2.0
64 126 1.0
64 129 1.0
64 133 1.0
64 136 2.0
64 174 2.0
64 201 2.0
64 203 1.0
64 208 1.0
64 231 4.0
64 265 1.0
64 267 3.0
64 269 1.0
64 273 1.0
64 284 1.0
64 289 1.0
64 301 2.0
64 309 2.0
64 311 3.0
64 333 1.0
64 334 2.0
64 337 5.0
64 362 1.0
64 406 1.0
64 425 1.0
64 426 1.0
64 428 2.0
64 429 1.0
64 443 1.0
64 457 4.0
64 473 2.0
64 480 1.0
64 508 1.0
64 539 2.0
64 551 1.0
64 559 1.0
64 563 1.0
64 573 5.0
64 589 1.0
64 598 1.0
64 601 1.0
64 609 2.0
64 648 1.0
64 657 1.0
64 668 1.0
64 672 1.0
64 674 2.0
64 677 1.0
64 735 1.0
64 784 1.0
64 794 1.0
64 817 3.0
64 846 1.0
64 849 1.0
64 904 1.0
64 1016 1.0
64 1042 1.0
64 1090 1.0
64 1104 1.0
64 1146 1.0
64 1147 1.0
64 1312 1.0
64 1313 1.0
64 1314 1.0
64 1315 5.0
64 1316 1.0
64 1317 1.0
64 1318 3.0
64 1319 2.0
64 1320 1.0
64 1321 3.0
64 1322 1.0
64 1323 1.0
64 1324 1.0
64 1326 1.0
64 1327 1.0
65 49 1.0
65 62 1.0
65 193 3.0
65 196 2.0
65 213 1.0
65 273 4.0
65 333 1.0
65 391 1.0
65 459 1.0
65 645 1.0
65 809 1.0
65 1331 1.0
65 1332 2.0
66 6 5.0
66 11 1.0
66 97 2.0
66 103 1.0
66 141 2.0
66 197 1.0
66 279 7.0
66 470 3.0
66 491 1.0
66 828 1.0
66 857 1.0
66 1336 1.0
66 1338 1.0
67 4 2.0
67 38 3.0
67 44 2.0
67 50 4.0
67 57 3.0
67 97 1.0
67 122 1.0
67 124 1.0
67 216 1.0
67 299 6.0
67 494 1.0
67 629 1.0
67 746 3.0
67 747 8.0
67 793 1.0
67 1377 1.0
67 1378 6.0
68 668 1.0
68 1379 1.0
69 6 1.0
69 15 3.0
69 39 2.0
69 49 6.0
69 262 1.0
69 698 2.0
69 1380 1.0
70 4 1.0
70 12 1.0
70 17 27.0
70 25 1.0
70 30 1.0
70 41 11.0
70 43 1.0
70 49 4.0
70 51 2.0
70 56 1.0
70 81 1.0
70 118 1.0
70 142 1.0
70 202 1.0
70 218 1.0
70 227 1.0
70 236 5.0
70 273 1.0
70 307 1.0
70 515 4.0
70 533 1.0
70 544 1.0
70 585 1.0
70 624 1.0
70 625 11.0
70 765 2.0
70 768 1.0
70 794 1.0
70 795 1.0
70 957 1.0
70 966 1.0
70 969 2.0
70 1010 1.0
70 1067 1.0
70 1095 1.0
70 1096 1.0
70 1097 1.0
70 1334 2.0
70 1407 1.0
70 1408 1.0
71 4 2.0
71 17 17.0
71 49 2.0
71 70 33.0
71 83 1.0
71 193 3.0
71 204 2.0
71 236 13.0
71 304 4.0
71 307 3.0
71 308 3.0
